Technology	Energy output [GWh/y]
NUCLEAR	2256.497
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
IND_BOILER_OIL	1855.663
IND_BOILER_COAL	3011.550
IND_BOILER_WASTE	9132.787
DHN_HP_ELEC	4163.158
DHN_BOILER_GAS	1665.263
DHN_GEOTHERMAL	2497.895
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	14238.000
DEC_BOILER_GAS	14238.000
DEC_BOILER_OIL	7119.000
H2_FROM_GAS	6480.000
PYROLYSIS	6579.000

Resource	Energy consumption [GWh/y]
ELECTRICITY	17897.026
GASOLINE	7800.000
DIESEL	1071.000
OIL	3825.537
NG	40410.524
WOOD	9868.500
COAL	3674.091
URANIUM	6092.542
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_NG	15000.000
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
