Technology	Installed capacity [GW]
NUCLEAR	0.303405
HYDRO_DAM_EXISTING	8.080000
HYDRO_DAM	0.440000
HYDRO_RIVER_EXISTING	3.800000
IND_BOILER_OIL	0.422510
IND_BOILER_COAL	0.439778
IND_BOILER_WASTE	1.158395
DHN_HP_ELEC	1.024768
DHN_BOILER_GAS	0.902060
DHN_BOILER_OIL	2.326403
DHN_GEOTHERMAL	0.399575
DEC_HP_ELEC	14.257390
DEC_THERMAL_HP_GAS	5.702956
DEC_BOILER_GAS	5.702956
DEC_BOILER_OIL	2.851478
H2_FROM_GAS	0.860147
PYROLYSIS	0.873288

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.712329
CAR_DIESEL	1.712329
CAR_PHEV	0.856164
CAR_BEV	2.568493
CAR_FC	1.712329
BUS_NG	1.712329
TRAIN_PUBLIC	3.995434
TRAIN_FREIGHT	1.598174
TRUCK_FREIGHT_FC	2.397260
